frame,pts_ns,x,y,width,height
318,10600000000,362,148,64,64
319,10633333333,363,148,64,64
320,10666666666,364,148,64,64
321,10700000000,365,148,64,64
322,10733333333,366,148,64,64
323,10766666666,367,148,64,64
324,10800000000,368,148,64,64
325,10833333333,369,148,64,64
326,10866666666,370,148,64,64
327,10900000000,371,148,64,64
328,10933333333,372,148,64,64
329,10966666666,373,148,64,64
330,11000000000,374,148,64,64
331,11033333333,376,148,64,64
332,11066666666,377,148,64,64
333,11100000000,378,148,64,64
334,11133333333,379,148,64,64
335,11166666666,380,148,64,64
336,11200000000,381,148,64,64
337,11233333333,382,148,64,64
338,11266666666,383,148,64,64
339,11300000000,384,148,64,64
340,11333333333,385,148,64,64
341,11366666666,386,148,64,64
342,11400000000,387,148,64,64
343,11433333333,388,148,64,64
344,11466666666,390,148,64,64
345,11500000000,391,148,64,64
346,11533333333,392,148,64,64
347,11566666666,393,148,64,64
348,11600000000,394,148,64,64
349,11633333333,395,148,64,64
350,11666666666,396,148,64,64
351,11700000000,397,148,64,64
352,11733333333,398,148,64,64
353,11766666666,399,148,64,64
354,11800000000,400,148,64,64
355,11833333333,401,148,64,64
356,11866666666,402,148,64,64
357,11900000000,403,148,64,64
358,11933333333,405,148,64,64
359,11966666666,406,148,64,64
360,12000000000,407,148,64,64
361,12033333333,408,148,64,64
362,12066666666,409,148,64,64
363,12100000000,410,148,64,64
364,12133333333,411,148,64,64
365,12166666666,412,148,64,64
366,12200000000,413,148,64,64
367,12233333333,414,148,64,64
368,12266666666,415,148,64,64
369,12300000000,416,148,64,64
370,12333333333,417,148,64,64
371,12366666666,419,148,64,64
372,12400000000,420,148,64,64
373,12433333333,421,148,64,64
374,12466666666,422,148,64,64
375,12500000000,423,148,64,64
376,12533333333,424,148,64,64
377,12566666666,425,148,64,64
378,12600000000,426,148,64,64
379,12633333333,427,148,64,64
380,12666666666,428,148,64,64
381,12700000000,429,148,64,64
382,12733333333,430,148,64,64
383,12766666666,431,148,64,64
384,12800000000,432,148,64,64
385,12833333333,434,148,64,64
386,12866666666,435,148,64,64
387,12900000000,436,148,64,64
388,12933333333,437,148,64,64
389,12966666666,438,148,64,64
390,13000000000,439,148,64,64
391,13033333333,440,148,64,64
392,13066666666,441,148,64,64
393,13100000000,442,148,64,64
394,13133333333,443,148,64,64
395,13166666666,444,148,64,64
396,13200000000,445,148,64,64
397,13233333333,446,148,64,64
398,13266666666,448,148,64,64
399,13300000000,449,148,64,64
400,13333333333,450,148,64,64
401,13366666666,451,148,64,64
402,13400000000,452,148,64,64
403,13433333333,453,148,64,64
404,13466666666,454,148,64,64
405,13500000000,455,148,64,64
406,13533333333,456,148,64,64
407,13566666666,457,148,64,64
408,13600000000,458,148,64,64
409,13633333333,459,148,64,64
410,13666666666,460,148,64,64
411,13700000000,461,148,64,64
412,13733333333,463,148,64,64
413,13766666666,464,148,64,64
414,13800000000,465,148,64,64
415,13833333333,466,148,64,64
416,13866666666,467,148,64,64
417,13900000000,468,148,64,64
418,13933333333,469,148,64,64
419,13966666666,470,148,64,64
420,14000000000,471,148,64,64
421,14033333333,472,148,64,64
422,14066666666,473,148,64,64
423,14100000000,474,148,64,64
424,14133333333,475,148,64,64
425,14166666666,477,148,64,64
426,14200000000,478,148,64,64
427,14233333333,479,148,64,64
428,14266666666,480,148,64,64
429,14300000000,481,148,64,64
430,14333333333,482,148,64,64
431,14366666666,483,148,64,64
432,14400000000,484,148,64,64
433,14433333333,485,148,64,64
434,14466666666,486,148,64,64
435,14500000000,487,148,64,64
436,14533333333,488,148,64,64
437,14566666666,489,148,64,64
438,14600000000,490,148,64,64
439,14633333333,492,148,64,64
440,14666666666,493,148,64,64
441,14700000000,494,148,64,64
442,14733333333,495,148,64,64
443,14766666666,496,148,64,64
444,14800000000,497,148,64,64
445,14833333333,498,148,64,64
446,14866666666,499,148,64,64
447,14900000000,500,148,64,64
448,14933333333,501,148,64,64
449,14966666666,502,148,64,64
450,15000000000,503,148,64,64
451,15033333333,504,148,64,64
452,15066666666,506,148,64,64
453,15100000000,507,148,64,64
454,15133333333,508,148,64,64
455,15166666666,509,148,64,64
456,15200000000,510,148,64,64
457,15233333333,511,148,64,64
458,15266666666,512,148,64,64
459,15300000000,513,148,64,64
460,15333333333,514,148,64,64
461,15366666666,515,148,64,64
462,15400000000,516,148,64,64
463,15433333333,517,148,64,64
464,15466666666,518,148,64,64
465,15500000000,519,148,64,64
466,15533333333,521,148,64,64
467,15566666666,522,148,64,64
468,15600000000,523,148,64,64
469,15633333333,524,148,64,64
470,15666666666,525,148,64,64
471,15700000000,526,148,64,64
472,15733333333,527,148,64,64
473,15766666666,528,148,64,64
474,15800000000,529,148,64,64
475,15833333333,530,148,64,64
476,15866666666,531,148,64,64
477,15900000000,532,148,64,64
478,15933333333,533,148,64,64
479,15966666666,535,148,64,64
480,16000000000,536,148,64,64
481,16033333333,537,148,64,64
482,16066666666,538,148,64,64
483,16100000000,539,148,64,64
484,16133333333,540,148,64,64
485,16166666666,541,148,64,64
486,16200000000,542,148,64,64
487,16233333333,543,148,64,64
488,16266666666,544,148,64,64
489,16300000000,545,148,64,64
490,16333333333,546,148,64,64
491,16366666666,547,148,64,64
492,16400000000,548,148,64,64
493,16433333333,550,148,64,64
494,16466666666,551,148,64,64
495,16500000000,552,148,64,64
496,16533333333,553,148,64,64
497,16566666666,554,148,64,64
498,16600000000,555,148,64,64
499,16633333333,556,148,64,64
